# -*- mode: tsv -*-
# vers	sha256sum (tar.gz)	cksum #octets
3.0.0	c09db89e6b190b5f2aa191b45c494c30476c37bf6d9b14f8c973931cf1414286	4116309861 2135130
3.0.1	9b701ff471bf1d9c9fd671e6a3d3c426850df5411a73f891f49c2cd79d489d5a	516175677 2137946
3.0.2	8a3666b1ffbbcaf78e6308273b9cb56b95953a993f179cae3f892272da3c0c0a	830062513 2157313
3.0.3	f95b4db01ebd6b95dce6eaf5782e8dc527e72af7bf52251459cd0f557a3cc045	3697325455 2157425
3.0.4	860abb86d89aebb027f70f040b3f64ca5b22f4baa15d0a8eaf4004e92906ecdb	1989840962 2159370
3.0.5	32b80317b366439be7125a0e3359349fbbe7c7e906c90f3fa08228f03091d74c	1121381638 2160957
3.0.6	dd18a5d13656430a0ec3d12fccfa416f7891b41e2df5c501efc02773ea3bac12	3617924763 2162390
3.0.7	b9e602a3b0004b7c17685aab13dfcc21f54475c4a0d605ce98ae15422c338526	2712220619 2163194
3.1.0	d7ebeccfd97134ab838b234ab88122d2817e9c713bcd3fc5134b553651eb0ca0	3830938398 2243869
3.1.1	57307b919bcc38ada8c5bd06e49d914e428cf11f0fc2cf02d13c5d00afddeecf	1386757792 2246322
3.1.2	ea371f1d2a20ab3c4211179ecd5d806fc46675aa78049258bb0f20d36b30e28b	3701470560 2248299
3.1.3	a8db4d47f0a45fb135db3d8281dc3275ff033f448e270d6fd290ae7efb36bbc1	1958084799 2249372
3.1.4	1436912f2e684f8ed924a2539c957348db4d7af36262382e1198a41047c5792d	3367392283 2254992
3.1.5	984b347517bdb663e7d68faa1ec99b4880a39594698768d5c62c366f80a8e704	3916138983 2255322
3.1.6	a6d329b232cb2c8326217535b484e50cb0361327b7c1eef6fa8de946aa9ca79f	1777914838 2255338
3.1.7	44703a19ee4db1c36a2a22fc096ae617dfd67a49e3dad47b8cf08446b745d456	2817737428 2257054
3.2.0	73ba69daf67e527787be23e5e8a46307483362d2c54540e7b26a7eb146498715	3335982311 2299254
3.2.1	5e69ad50eef27b581e58ea0d72f2dcb19f38db3626e3bd6ed27b74d5a4da5bd6	546521397 2310459
3.2.2	a22396602c2871b162d9f530c8171b0fd5f73d2f4b98c47dc48c5e3f880186cc	2653110202 2311215
