# -*- mode: tsv -*-
# vers	sha256sum (tar.gz)	cksum #octets
3.0.0	c09db89e6b190b5f2aa191b45c494c30476c37bf6d9b14f8c973931cf1414286	4116309861 2135130
3.0.7	b9e602a3b0004b7c17685aab13dfcc21f54475c4a0d605ce98ae15422c338526	2712220619 2163194
3.1.7	44703a19ee4db1c36a2a22fc096ae617dfd67a49e3dad47b8cf08446b745d456	2817737428 2257054
3.2.9	c0fe5520485adff5e3b139cd52c7dc1212b9a3aae6e2a0f7ee52b829364c61bb	1640283758 2323496
3.3.3	4692e0177388123d965b088d5983bc0a6575d0718fb4b50fae2776ad68863836	3030785568 2366378
3.3.10	7f5de3e1da07e9e12f706e38aa0029d4b75989a575d552e8926f5571882170e6	3583223017 2375317
3.4.13	bcdf35c88509c7c47e3a50e72d38507c25bebf243aa7844c30ca3f8f1fe6baac	2524545399 2455305
4.0.9	04a772b0b8f8ce6493614a7cb22ed82cb9b43c75dcdbeb5c2f925bae98e0d5df	1171112473 2526519
4.1.3	b5a11a750fa7eeafdf513b352fa2375987b6ebad4264a929ad4db0421870c154	4244407568 2720733
4.2.1	ad4109c3425f1cfe4c8961f6ae6494c76e20d81ed946caa1e297d9eda13b41b4	1201426996 3034144
4.1.4	beaf6e51bb6a0c7655d73410afdf50c24091ee5f11eda0c9e96f38dfa7a3ab9f	1668119858 2720709
4.1.5	624dfeab7db5cda35a03d791b5fa83a836717ca280856c51cd089ed638f8678e	2422318738 2722929
4.1.6	ad78999cb65ba2d1be344fdd582e4f24a9b97c88710ab217a954df437e04072f	3055539714 2723049
4.2.2	e6fbe9279939a95953d377ef76f180f204a1f3da5229a1d56055d658de7198f6	3500302621 3038398
4.2.3	72f633dc954217948558889ca85325fe6410cd18a2d8b39358e5d75932a47a0c	3067217769 3039136
4.2.4	cf649f5d4ff783582f82bebd4a5099ef63acb3d5573bbe6b4bf64f293c61c9ce	909446003 3040533
